backend,clean_reference,duration_seconds,input_file,input_sample_rate,input_si_sdr_db,input_snr_db,model,model_path,model_sample_rate,model_size_bytes,output_file,output_si_sdr_db,output_snr_db,pesq,processing_seconds,real_time_factor,si_sdr_improvement_db,snr_improvement_db,stoi
pytorch,test_voices\clean.wav,16.128,test_voices\dirty_construction_10dB.wav,16000,10.000542826453811,9.999752497839244,DeepFilterNet3,C:\Users\srish\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3,48000,8718308,results\gtcrn_10dB\DeepFilterNet3-filtered.wav,11.700376092493398,11.64216624779457,1.6083271503448486,15.927891200000886,0.9875924603175152,1.6998332660395867,1.6424137499553257,0.741893187677849
pytorch,test_voices\clean.wav,16.128,test_voices\dirty_construction_10dB.wav,16000,10.000542826453811,9.999752497839244,GTCRN,C:\Users\srish\Downloads\gtcrn-main\gtcrn-main\checkpoints\model_trained_on_dns3.tar,16000,579819,results\gtcrn_10dB\GTCRN-filtered.wav,15.06869733936443,14.89032322363503,1.698764443397522,0.8821701999986544,0.05469805307531339,5.068154512910619,4.890570725795785,0.7382748787025033
