backend,clean_reference,duration_seconds,input_file,input_si_sdr_db,input_snr_db,model,model_size_bytes,output_file,output_si_sdr_db,output_snr_db,pesq,processing_seconds,real_time_factor,si_sdr_improvement_db,snr_improvement_db,snr_label,stoi
onnxruntime,test_voices/clean.wav,16.128,test_voices/dirty_construction_-5dB.wav,-4.996551990509033,-5.000009059906006,DTLN,6080024,results/dtln_all_snr/DTLN-filtered_-5dB.wav,9.223997116088867,-12.993145942687988,1.1931124925613403,0.34466329199494794,0.021370491815162942,14.2205491065979,-7.993136882781982,-5dB,0.6059386069297984
onnxruntime,test_voices/clean.wav,16.128,test_voices/dirty_construction_0dB.wav,0.0019415311980992556,-3.3651772355369758e-06,DTLN,6080024,results/dtln_all_snr/DTLN-filtered_0dB.wav,11.522920608520508,-13.247495651245117,1.2640023231506348,0.34466545801842585,0.021370626117213905,11.520979077322409,-13.247492286067882,0dB,0.6384309110260323
onnxruntime,test_voices/clean.wav,16.128,test_voices/dirty_construction_5dB.wav,5.001062870025635,4.9999542236328125,DTLN,6080024,results/dtln_all_snr/DTLN-filtered_5dB.wav,13.048468589782715,-13.241888046264648,1.4072604179382324,0.33615566696971655,0.020842985303181828,8.04740571975708,-18.24184226989746,5dB,0.666822773836358
onnxruntime,test_voices/clean.wav,16.128,test_voices/dirty_construction_10dB.wav,10.000516891479492,9.999752044677734,DTLN,6080024,results/dtln_all_snr/DTLN-filtered_10dB.wav,13.639925003051758,-13.1641206741333,1.5548534393310547,0.340501457976643,0.02111244159081368,3.6394081115722656,-23.163872718811035,10dB,0.6937674031522381
